"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","1.62960609911055","","","1.86891025641026","1.61082474226804","1.72206572769953","2.04608695652174","2.0114747930775","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43125786929857","1.99206802087501","1.89623413539531","2.56626783159257","2.33554714346353","2.08741266994606","1.94583653549399","1.82134648454597","1.17541658160723","1.07694984690258","1.29801299872616","0.993454695099871","0.955493294290016","0.94396349195364","0.984560504130132","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.715E-05","1.73E-05","22.25","21.9805","19.4323333333333","17.4636666666667","7.1025","5.68283054258138","17.5225890755741","5.70928069083604","4.70739276826233","2.44784815671705","5.97226820719497","2.64201188106298","17.334692213616","6.39260315427404","4.52435381521461","2.86993244512575","3.76147907354734","3.47118018672779","3.69224094698531","3.76149530543532","3.11405449295742","3.57312038062707","4.70438862456719","4.17758478019843","3.25566030171388","3.2366594546399","4.45523927086343","4.69845451564414","3.10542625956692","2.73334072526982","2.42111283765097","1.77713755353982","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","6.05202163275818","5.84831705344366","5.65159574468085","5.44128198995456","6.11750454270139","5.65142619937141","5.62618650405569","5.86222892264873","5.61731662843362","5.16761272357288","5.8883007196812","5.79127042184833","4.6708878237371","3.19945106674965","2.54781906037648","2.05358735905793","1.37902962734156","1.28308078036268","1.23824256064749","1.24921009885957","1.24636024189216","1.30929137475594","1.32003449433204","1.33684292419802","1.38115794211088","1.35000497056322","1.56776908873068","1.8207653435572","1.98486885667761","1.51721713955964","1.55859189302343","1.52826631112524","1.48708257655211","1.40898210141128","1.3465159912894","1.16230386432234","1.10150759652938","1.10755057254768","1.17890055828841","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","4.77708774412209","4.63218959398306","5.25732333503369","3.84046402328114","4.75989319165622","6.07544327483792","5.86821205377298","5.97847823800059","7.35543162660008","8.42182811126416","8.26962252422471","8.03949628194486","7.55999215903695","8.05695847052085","","","","10.8250163996167","10.6160766088062","9.65391617466383","8.58612578916951","9.92921430070287","12.0795814489269","11.0701360027288","11.5787407500521","10.3027412219675","","8.41670821959958","8.05631014920677","7.69564992555482","","11.4259572373931","8.64523682942091","7.88081760998191","7.334938126994","6.60087724469061","6.01991039115584","6.57512353204643","7.54575358912385","6.52014355048387","6.41698517387688","6.40980859809992","5.88547715026371","5.4623006974041","5.07646418006271","4.63218599179188","4.38651025027941","4.52556257910495","4.19912250437338","5.32548371783154","5.03957033729629","4.9126428668612","5.0041416181483","5.75626256236287","6.34234142468796","7.4175027839427","6.15912390109973","6.4863410494395","5.67293435705152","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75906148063517","8.62972120984848","7.6695379976034","8.3237222448449","5.61210552340521","4.87553180534483","4.69230626722928","4.6114776396626","3.65647067832081","3.22597447304637","3.28052136989454","3.6680226492701","5.45710777311036","6.03859220826788","5.46631452753061","5.07555649376756","6.03468625064444","5.64365135247024","","","","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","1.55","2.14","2.66","1.68","1.15","1.07","1.168","1.4","1.68571428571429","1.9375","1.87777777777778","1.80769230769231","1.82380952380952","1.84857142857143","1.65918367346939","2.04195804195804","3.78129117259552","4.00860009555662","4.71914405808177","4.67335625570135","3.09895833333333","3.46534653465347","2.70455793520044","2.73881278538813","2.16203914428767","2.29971724787936","2.31367874921125","2.2843868799904","2.12493922313663","1.88036559239223","1.45090921225786","1.50692655529635","1.42122223348777","1.42280290057293","1.45703853325047","1.47307310721151","1.24122726437626","1.14013911131295","1.13631802186333","1.22035954754993","1.14882267666887","1.18423354187058","1.09188047859748","1.06089505704838","0.883295358833529","0.847154783885961","0.788233877461469","0.792548175031362","0.762756475390461","0.886508576686385","0.814878105497939","0.764287094036749","0.784824721019786","0.837736430159436","0.878100919364039","0.850128583186764","0.813140077928875","0.856137916373543","0.854560979237316","",
"Armenia","ARM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20338983050847","2.29664433319049","","4.05931190833614","3.28186700423013","3.90939855980585","3.52809600318196","3.69737423084246","3.56002487253697","3.12724938530975","2.69771474886414","2.72837221377968","2.74199670493715","2.87193136291811","2.94761315625864","3.04257470127966","3.39557936270657","4.15704990783508","4.26564605593771","3.85394644115574","3.58376691873744","3.99724455730484","3.94337826474581","4.2392258025425","4.08305744620771","3.83982586933575","4.77833758658911","",
"American Samoa","ASM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
